"karyotype","fitness","is_fq","is_nn","boundary_degree"
"2.2.2.2.2.2.1.2.2.2.1.2.1.2.2.2.2.2.2.2.2.2",0.749080757230325,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.1.1.2.2.2.2.2.2.2.2.2",0.802151980503666,FALSE,TRUE,33
"2.2.2.2.2.2.1.2.2.2.2.2.1.1.2.2.2.2.2.2.2.2",0.710987401905127,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.1.2.2.2.2.2.2.2",0.764597566302019,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.1.2.2.2.2.2.2",0.734957799213971,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.1.2.2.2.2.2",0.752437474514525,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.1.2.2",0.789723353309612,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.1.2",0.71661633751221,FALSE,TRUE,33
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.1",0.771067716599189,FALSE,TRUE,34
"3.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.806604405307305,FALSE,TRUE,36
"2.2.3.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.730454499841817,FALSE,TRUE,36
"2.2.2.3.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.747550325226289,FALSE,TRUE,36
"2.2.2.2.3.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.752879703655498,FALSE,TRUE,36
"2.2.2.2.2.3.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.744755827117472,FALSE,TRUE,35
"2.2.2.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.789111160104234,FALSE,TRUE,35
"2.2.2.2.2.2.1.3.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.808798339443109,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.3.2.2.2.1.2.2.2.2.2.1.2.2.2",0.788811605498869,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.3.2.2.1.2.2.2.2.2.1.2.2.2",0.80455156943134,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.3.2.1.2.2.2.2.2.1.2.2.2",0.793582721727823,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.3.1.2.2.2.2.2.1.2.2.2",0.741256323084814,FALSE,TRUE,37
"2.2.2.2.2.2.1.2.2.2.2.2.1.3.2.2.2.2.1.2.2.2",0.834317973877038,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.3.2.2.2.1.2.2.2",0.787604716446914,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.3.2.1.2.2.2",0.795658092421495,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.3.1.2.2.2",0.755689474810743,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.3.2.2",0.777987660371872,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.3.2",0.787676024858584,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.3",0.754111142303175,FALSE,TRUE,36
"1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.746034741801667,FALSE,TRUE,34
"2.1.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.833716391779858,FALSE,TRUE,36
"2.2.1.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.808011632334479,FALSE,TRUE,34
"2.2.2.1.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.812707838557355,FALSE,TRUE,35
"2.2.2.2.1.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.769905463269805,FALSE,TRUE,34
"2.2.2.2.2.1.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.813474802577358,FALSE,TRUE,35
"2.2.2.2.2.2.1.1.2.2.2.2.1.2.2.2.2.2.1.2.2.2",0.746205206682328,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.1.2.2.2.1.2.2.2.2.2.1.2.2.2",0.757801539867578,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.1.2.2.1.2.2.2.2.2.1.2.2.2",0.730520978146317,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.1.2.1.2.2.2.2.2.1.2.2.2",0.752377724214027,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.1.2.2.2.2.1.2.2.2",0.71680656391882,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.1.2.2.2.1.2.2.2",0.756303746150199,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.1.2.2.1.2.2.2",0.750115225677074,FALSE,TRUE,36
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.1.2.1.2.2.2",0.756558478950304,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.1.1.2.2.2",0.780356932392353,FALSE,TRUE,34
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.1.2.2",0.785052773155855,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.1.2",0.737129031553518,FALSE,TRUE,35
"2.2.2.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.1.2.2.1",0.791765206946613,FALSE,TRUE,35
"3.2.1.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.818591036307693,FALSE,TRUE,37
"2.3.1.2.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.740471342040636,FALSE,TRUE,35
"2.2.1.3.2.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.762783422501297,FALSE,TRUE,35
"2.2.1.2.3.2.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.761544776576983,FALSE,TRUE,37
"2.2.1.2.2.3.1.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.771101920027911,FALSE,TRUE,36
"2.2.1.2.2.2.2.2.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.786640999318515,FALSE,TRUE,35
"2.2.1.2.2.2.1.3.2.2.2.2.1.2.2.2.2.2.2.2.2.2",0.80668047570072,FALSE,TRUE,36
"2.2.1.2.2.2.1.2.3.2.2.2.1.2.2.2.2.2.2.2.2.2",0.78532659927779,FALSE,TRUE,37
"2.2.1.2.2.2.1.2.2.3.2.2.1.2.2.2.2.2.2.2.2.2",0.787625824651068,FALSE,TRUE,37
"2.2.1.2.2.2.1.2.2.2.3.2.1.2.2.2.2.2.2.2.2.2",0.824151540837004,FALSE,TRUE,37
"2.2.1.2.2.2.1.2.2.2.2.3.1.2.2.2.2.2.2.2.2.2",0.785960867952156,FALSE,TRUE,38
"2.2.1.2.2.2.1.2.2.2.2.2.1.3.2.2.2.2.2.2.2.2",0.834829755260972,FALSE,TRUE,37
